val,meas,response,concentration
0.45337843354528273,BGE,positive,0.001
0.454982698041464,BGE,positive,0.001
0.42849326127195014,BGE,positive,0.001
0.398063286893191,BGE,positive,0.001
0.44367648916768876,BGE,positive,0.001
0.0,BGE,negative,0.001
0.0,BGE,negative,0.001
0.396335479017197,BGE,negative,0.001
0.4490111285278893,BGE,positive,0.001
0.0,BGE,positive,0.001
0.45438602182459253,BGE,positive,0.001
0.45363034500224847,BGE,negative,0.001
0.0,BGE,positive,0.001
0.0,BGE,positive,0.001
0.4543270666128044,BGE,negative,0.001
0.44893421473371187,BGE,positive,0.001
0.45544569607026775,BGE,positive,0.001
0.0,BGE,negative,0.001
0.4509734890569983,BGE,negative,0.001
0.0,BGE,positive,0.001
0.0,BGE,positive,0.001
0.45331164139738134,BGE,positive,0.001
0.44948032461314164,BGE,positive,0.001
0.413926975367627,BGE,positive,0.1
0.34353414285644246,BGE,negative,0.1
0.421421368585594,BGE,positive,0.1
0.42448743131806954,BGE,positive,0.1
0.4059406065232153,BGE,positive,0.1
0.4284747478755251,BGE,positive,0.1
0.378614778648272,BGE,positive,0.1
0.0,BGE,positive,0.1
0.4017467419046,BGE,positive,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.4043168115288445,BGE,positive,0.1
0.404414121099298,BGE,positive,0.1
0.42420846675230484,BGE,positive,0.1
0.4265470809334375,BGE,negative,0.1
0.4274748241204138,BGE,positive,0.1
0.4155081591547626,BGE,positive,0.1
0.4251846913074808,BGE,negative,0.1
0.413281295017005,BGE,positive,0.1
0.4293572920635715,BGE,positive,0.1
0.4030865080298793,BGE,negative,0.1
0.3970465441017549,BGE,negative,0.1
0.06584056373924616,BGE,positive,0.1
0.05680338480410248,BGE,positive,0.1
0.4299890278581452,BGE,positive,0.1
0.40216853773819006,BGE,positive,0.1
0.4242990018835516,BGE,positive,0.1
0.3767988723512715,BGE,negative,0.1
0.4223017236698037,BGE,positive,0.1
0.43061594179757623,BGE,positive,0.1
0.42478659171333083,BGE,positive,0.1
0.4385866521860232,BGE,positive,0.1
0.40448765361979777,BGE,positive,0.1
0.0,BGE,positive,0.1
0.4030938203790772,BGE,positive,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.4122985922323663,BGE,positive,0.1
0.41548305778153455,BGE,positive,0.1
0.43110200482148975,BGE,positive,0.1
0.43792145101341523,BGE,negative,0.1
0.4382456441600071,BGE,positive,0.1
0.4146084061206428,BGE,positive,0.1
0.43830519695351416,BGE,negative,0.1
0.4215700656078514,BGE,positive,0.1
0.43901332368679646,BGE,positive,0.1
0.42297100864880527,BGE,negative,0.1
0.40762599282870554,BGE,negative,0.1
0.44192019207212696,BGE,positive,0.1
0.44175082726097126,BGE,positive,0.1
0.44043292773175785,BGE,positive,0.1
0.4151767267522217,BGE,positive,0.1
0.383446269462674,BGE,positive,0.1
0.3087506626310942,BGE,negative,0.1
0.38713234347183545,BGE,positive,0.1
0.3958310553124211,BGE,positive,0.1
0.3867701488352196,BGE,positive,0.1
0.4011380836895045,BGE,positive,0.1
0.34007283505003794,BGE,positive,0.1
0.0,BGE,positive,0.1
0.38085120519085874,BGE,positive,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.37938166482906477,BGE,positive,0.1
0.3866956007690302,BGE,positive,0.1
0.3946639101260343,BGE,positive,0.1
0.4008412952013886,BGE,negative,0.1
0.4031343644595702,BGE,positive,0.1
0.3933004505397557,BGE,positive,0.1
0.40245000963922056,BGE,negative,0.1
0.3717646953422097,BGE,positive,0.1
0.40474504054486915,BGE,positive,0.1
0.38432339219017586,BGE,negative,0.1
0.38282734828688336,BGE,negative,0.1
0.4059515437970246,BGE,positive,0.1
0.40567995974283866,BGE,positive,0.1
0.4054511822811126,BGE,positive,0.1
0.38016257826740485,BGE,positive,0.1
0.4736677764738559,BGE,positive,0.1
0.47278809753807105,BGE,negative,0.1
0.47389936120665854,BGE,positive,0.1
0.47456900214552167,BGE,positive,0.1
0.47387891978527613,BGE,positive,0.1
0.4763722862874108,BGE,positive,0.1
0.4731012986823955,BGE,positive,0.1
0.0,BGE,positive,0.1
0.47332488311571785,BGE,positive,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.0,BGE,negative,0.1
0.4737423388359242,BGE,positive,0.1
0.4733263177615511,BGE,positive,0.1
0.4740061533578431,BGE,positive,0.1
0.47530819668460883,BGE,negative,0.1
0.47466044649335193,BGE,positive,0.1
0.47462725957070856,BGE,positive,0.1
0.47820856096788017,BGE,negative,0.1
0.4735377562776264,BGE,positive,0.1
0.47606005592947254,BGE,positive,0.1
0.4736190336328518,BGE,negative,0.1
